"location_id","sensors_id","location","datetime","lat","lon","parameter","units","value"
8118,23534,"New Delhi-8118","2025-11-23T01:00:00+05:30","28.63576","77.22445","pm25","µg/m³","219.0"
8118,23534,"New Delhi-8118","2025-11-23T02:00:00+05:30","28.63576","77.22445","pm25","µg/m³","251.0"
8118,23534,"New Delhi-8118","2025-11-23T03:00:00+05:30","28.63576","77.22445","pm25","µg/m³","278.0"
8118,23534,"New Delhi-8118","2025-11-23T04:00:00+05:30","28.63576","77.22445","pm25","µg/m³","266.0"
8118,23534,"New Delhi-8118","2025-11-23T05:00:00+05:30","28.63576","77.22445","pm25","µg/m³","259.0"
8118,23534,"New Delhi-8118","2025-11-23T06:00:00+05:30","28.63576","77.22445","pm25","µg/m³","247.0"
8118,23534,"New Delhi-8118","2025-11-23T07:00:00+05:30","28.63576","77.22445","pm25","µg/m³","242.0"
8118,23534,"New Delhi-8118","2025-11-23T08:00:00+05:30","28.63576","77.22445","pm25","µg/m³","230.0"
8118,23534,"New Delhi-8118","2025-11-23T09:00:00+05:30","28.63576","77.22445","pm25","µg/m³","220.0"
8118,23534,"New Delhi-8118","2025-11-23T10:00:00+05:30","28.63576","77.22445","pm25","µg/m³","301.0"
8118,23534,"New Delhi-8118","2025-11-23T11:00:00+05:30","28.63576","77.22445","pm25","µg/m³","297.0"
8118,23534,"New Delhi-8118","2025-11-23T12:00:00+05:30","28.63576","77.22445","pm25","µg/m³","234.0"
8118,23534,"New Delhi-8118","2025-11-23T13:00:00+05:30","28.63576","77.22445","pm25","µg/m³","175.0"
8118,23534,"New Delhi-8118","2025-11-23T14:00:00+05:30","28.63576","77.22445","pm25","µg/m³","147.0"
8118,23534,"New Delhi-8118","2025-11-23T15:00:00+05:30","28.63576","77.22445","pm25","µg/m³","130.0"
8118,23534,"New Delhi-8118","2025-11-23T16:00:00+05:30","28.63576","77.22445","pm25","µg/m³","143.0"
8118,23534,"New Delhi-8118","2025-11-23T17:00:00+05:30","28.63576","77.22445","pm25","µg/m³","120.0"
8118,23534,"New Delhi-8118","2025-11-23T18:00:00+05:30","28.63576","77.22445","pm25","µg/m³","137.0"
8118,23534,"New Delhi-8118","2025-11-23T19:00:00+05:30","28.63576","77.22445","pm25","µg/m³","168.0"
8118,23534,"New Delhi-8118","2025-11-23T20:00:00+05:30","28.63576","77.22445","pm25","µg/m³","190.0"
8118,23534,"New Delhi-8118","2025-11-23T21:00:00+05:30","28.63576","77.22445","pm25","µg/m³","219.0"
8118,23534,"New Delhi-8118","2025-11-23T22:00:00+05:30","28.63576","77.22445","pm25","µg/m³","270.0"
8118,23534,"New Delhi-8118","2025-11-23T23:00:00+05:30","28.63576","77.22445","pm25","µg/m³","298.0"
8118,23534,"New Delhi-8118","2025-11-24T00:00:00+05:30","28.63576","77.22445","pm25","µg/m³","317.0"
