"location_id","sensors_id","location","datetime","lat","lon","parameter","units","value"
8118,23534,"New Delhi-8118","2025-11-29T01:00:00+05:30","28.63576","77.22445","pm25","µg/m³","216.0"
8118,23534,"New Delhi-8118","2025-11-29T02:00:00+05:30","28.63576","77.22445","pm25","µg/m³","208.0"
8118,23534,"New Delhi-8118","2025-11-29T03:00:00+05:30","28.63576","77.22445","pm25","µg/m³","212.0"
8118,23534,"New Delhi-8118","2025-11-29T04:00:00+05:30","28.63576","77.22445","pm25","µg/m³","203.0"
8118,23534,"New Delhi-8118","2025-11-29T05:00:00+05:30","28.63576","77.22445","pm25","µg/m³","197.0"
8118,23534,"New Delhi-8118","2025-11-29T06:00:00+05:30","28.63576","77.22445","pm25","µg/m³","201.0"
8118,23534,"New Delhi-8118","2025-11-29T07:00:00+05:30","28.63576","77.22445","pm25","µg/m³","234.0"
8118,23534,"New Delhi-8118","2025-11-29T08:00:00+05:30","28.63576","77.22445","pm25","µg/m³","192.0"
8118,23534,"New Delhi-8118","2025-11-29T09:00:00+05:30","28.63576","77.22445","pm25","µg/m³","183.0"
8118,23534,"New Delhi-8118","2025-11-29T10:00:00+05:30","28.63576","77.22445","pm25","µg/m³","163.0"
8118,23534,"New Delhi-8118","2025-11-29T11:00:00+05:30","28.63576","77.22445","pm25","µg/m³","115.0"
8118,23534,"New Delhi-8118","2025-11-29T12:00:00+05:30","28.63576","77.22445","pm25","µg/m³","108.0"
8118,23534,"New Delhi-8118","2025-11-29T13:00:00+05:30","28.63576","77.22445","pm25","µg/m³","86.0"
8118,23534,"New Delhi-8118","2025-11-29T14:00:00+05:30","28.63576","77.22445","pm25","µg/m³","67.0"
8118,23534,"New Delhi-8118","2025-11-29T15:00:00+05:30","28.63576","77.22445","pm25","µg/m³","57.0"
8118,23534,"New Delhi-8118","2025-11-29T16:00:00+05:30","28.63576","77.22445","pm25","µg/m³","54.0"
8118,23534,"New Delhi-8118","2025-11-29T17:00:00+05:30","28.63576","77.22445","pm25","µg/m³","53.0"
8118,23534,"New Delhi-8118","2025-11-29T18:00:00+05:30","28.63576","77.22445","pm25","µg/m³","65.0"
8118,23534,"New Delhi-8118","2025-11-29T19:00:00+05:30","28.63576","77.22445","pm25","µg/m³","84.0"
8118,23534,"New Delhi-8118","2025-11-29T20:00:00+05:30","28.63576","77.22445","pm25","µg/m³","106.0"
8118,23534,"New Delhi-8118","2025-11-29T21:00:00+05:30","28.63576","77.22445","pm25","µg/m³","140.0"
8118,23534,"New Delhi-8118","2025-11-29T22:00:00+05:30","28.63576","77.22445","pm25","µg/m³","164.0"
8118,23534,"New Delhi-8118","2025-11-29T23:00:00+05:30","28.63576","77.22445","pm25","µg/m³","196.0"
8118,23534,"New Delhi-8118","2025-11-30T00:00:00+05:30","28.63576","77.22445","pm25","µg/m³","206.0"
