"location_id","sensors_id","location","datetime","lat","lon","parameter","units","value"
8118,23534,"New Delhi-8118","2025-11-28T01:00:00+05:30","28.63576","77.22445","pm25","µg/m³","224.0"
8118,23534,"New Delhi-8118","2025-11-28T02:00:00+05:30","28.63576","77.22445","pm25","µg/m³","249.0"
8118,23534,"New Delhi-8118","2025-11-28T03:00:00+05:30","28.63576","77.22445","pm25","µg/m³","293.0"
8118,23534,"New Delhi-8118","2025-11-28T04:00:00+05:30","28.63576","77.22445","pm25","µg/m³","360.0"
8118,23534,"New Delhi-8118","2025-11-28T05:00:00+05:30","28.63576","77.22445","pm25","µg/m³","378.0"
8118,23534,"New Delhi-8118","2025-11-28T06:00:00+05:30","28.63576","77.22445","pm25","µg/m³","353.0"
8118,23534,"New Delhi-8118","2025-11-28T07:00:00+05:30","28.63576","77.22445","pm25","µg/m³","330.0"
8118,23534,"New Delhi-8118","2025-11-28T08:00:00+05:30","28.63576","77.22445","pm25","µg/m³","328.0"
8118,23534,"New Delhi-8118","2025-11-28T09:00:00+05:30","28.63576","77.22445","pm25","µg/m³","303.0"
8118,23534,"New Delhi-8118","2025-11-28T10:00:00+05:30","28.63576","77.22445","pm25","µg/m³","281.0"
8118,23534,"New Delhi-8118","2025-11-28T11:00:00+05:30","28.63576","77.22445","pm25","µg/m³","269.0"
8118,23534,"New Delhi-8118","2025-11-28T12:00:00+05:30","28.63576","77.22445","pm25","µg/m³","137.0"
8118,23534,"New Delhi-8118","2025-11-28T13:00:00+05:30","28.63576","77.22445","pm25","µg/m³","124.0"
8118,23534,"New Delhi-8118","2025-11-28T14:00:00+05:30","28.63576","77.22445","pm25","µg/m³","149.0"
8118,23534,"New Delhi-8118","2025-11-28T15:00:00+05:30","28.63576","77.22445","pm25","µg/m³","127.0"
8118,23534,"New Delhi-8118","2025-11-28T16:00:00+05:30","28.63576","77.22445","pm25","µg/m³","90.0"
8118,23534,"New Delhi-8118","2025-11-28T17:00:00+05:30","28.63576","77.22445","pm25","µg/m³","90.0"
8118,23534,"New Delhi-8118","2025-11-28T18:00:00+05:30","28.63576","77.22445","pm25","µg/m³","97.0"
8118,23534,"New Delhi-8118","2025-11-28T19:00:00+05:30","28.63576","77.22445","pm25","µg/m³","132.0"
8118,23534,"New Delhi-8118","2025-11-28T20:00:00+05:30","28.63576","77.22445","pm25","µg/m³","174.0"
8118,23534,"New Delhi-8118","2025-11-28T21:00:00+05:30","28.63576","77.22445","pm25","µg/m³","187.0"
8118,23534,"New Delhi-8118","2025-11-28T22:00:00+05:30","28.63576","77.22445","pm25","µg/m³","192.0"
8118,23534,"New Delhi-8118","2025-11-28T23:00:00+05:30","28.63576","77.22445","pm25","µg/m³","209.0"
8118,23534,"New Delhi-8118","2025-11-29T00:00:00+05:30","28.63576","77.22445","pm25","µg/m³","218.0"
